epoch:0/20 	 train_acc:90.68482971191406 	 val_acc:88.83161926269531 	 train_loss:0.19022253155708313 	 val_loss:0.027774399146437645
epoch:1/20 	 train_acc:97.23858642578125 	 val_acc:87.9725112915039 	 train_loss:0.24389423429965973 	 val_loss:0.04549252614378929
epoch:2/20 	 train_acc:98.63770294189453 	 val_acc:97.25086212158203 	 train_loss:0.266747385263443 	 val_loss:0.0012491034576669335
epoch:3/20 	 train_acc:98.8586196899414 	 val_acc:98.10997009277344 	 train_loss:0.021796012297272682 	 val_loss:0.0015398700488731265
epoch:4/20 	 train_acc:99.07952880859375 	 val_acc:98.45361328125 	 train_loss:0.1393927037715912 	 val_loss:0.004612626973539591
epoch:5/20 	 train_acc:99.07952880859375 	 val_acc:98.02405548095703 	 train_loss:0.060084354132413864 	 val_loss:0.003253769362345338
epoch:6/20 	 train_acc:99.44771575927734 	 val_acc:98.62542724609375 	 train_loss:0.13849158585071564 	 val_loss:0.0018449922790750861
epoch:7/20 	 train_acc:99.44771575927734 	 val_acc:97.42268371582031 	 train_loss:0.005751173477619886 	 val_loss:0.0006660515791736543
epoch:8/20 	 train_acc:99.66863250732422 	 val_acc:97.76632690429688 	 train_loss:0.03644922003149986 	 val_loss:0.0007896035094745457
epoch:9/20 	 train_acc:99.70545196533203 	 val_acc:98.02405548095703 	 train_loss:0.006679955869913101 	 val_loss:0.016453763470053673
epoch:10/20 	 train_acc:99.74227142333984 	 val_acc:98.10997009277344 	 train_loss:0.031401220709085464 	 val_loss:0.023610470816493034
epoch:11/20 	 train_acc:99.88954162597656 	 val_acc:98.28179168701172 	 train_loss:0.005503607448190451 	 val_loss:0.0007760830339975655
epoch:12/20 	 train_acc:99.88954162597656 	 val_acc:98.71134185791016 	 train_loss:0.0006205263780429959 	 val_loss:0.0009241743828170002
epoch:13/20 	 train_acc:99.92636108398438 	 val_acc:98.45361328125 	 train_loss:0.0013026697561144829 	 val_loss:0.0005791058647446334
epoch:14/20 	 train_acc:99.88954162597656 	 val_acc:97.5945053100586 	 train_loss:0.0005213254480622709 	 val_loss:0.062259797006845474
epoch:15/20 	 train_acc:99.96318054199219 	 val_acc:98.53952026367188 	 train_loss:0.0007054571178741753 	 val_loss:0.00014775805175304413
epoch:16/20 	 train_acc:99.85272216796875 	 val_acc:98.10997009277344 	 train_loss:0.00038210031925700605 	 val_loss:0.00013229776232037693
epoch:17/20 	 train_acc:99.81590270996094 	 val_acc:98.10997009277344 	 train_loss:0.003317664610221982 	 val_loss:0.0011767026735469699
epoch:18/20 	 train_acc:99.92636108398438 	 val_acc:98.3676986694336 	 train_loss:0.1037658229470253 	 val_loss:0.0005572246736846864
epoch:19/20 	 train_acc:99.77909088134766 	 val_acc:98.28179168701172 	 train_loss:0.01289514359086752 	 val_loss:9.784603025764227e-05
