epoch:0/20 	 train_acc:90.65291595458984 	 val_acc:95.77320098876953 	 train_loss:0.13762617111206055 	 val_loss:0.14882893860340118
epoch:1/20 	 train_acc:97.69759368896484 	 val_acc:95.05155181884766 	 train_loss:0.04389013722538948 	 val_loss:0.10012311488389969
epoch:2/20 	 train_acc:98.41924285888672 	 val_acc:98.14433288574219 	 train_loss:0.043852511793375015 	 val_loss:0.120747409760952
epoch:3/20 	 train_acc:98.591064453125 	 val_acc:97.62886810302734 	 train_loss:0.011876874603331089 	 val_loss:0.10031349211931229
epoch:4/20 	 train_acc:98.96907043457031 	 val_acc:98.96907806396484 	 train_loss:0.045011408627033234 	 val_loss:0.058881212025880814
epoch:5/20 	 train_acc:99.55326080322266 	 val_acc:98.86598205566406 	 train_loss:0.015911024063825607 	 val_loss:0.117503821849823
epoch:6/20 	 train_acc:99.5876235961914 	 val_acc:98.65979766845703 	 train_loss:0.05354084447026253 	 val_loss:0.08026073127985
epoch:7/20 	 train_acc:99.55326080322266 	 val_acc:97.93814849853516 	 train_loss:0.021802237257361412 	 val_loss:0.09401390701532364
epoch:8/20 	 train_acc:99.86254119873047 	 val_acc:98.55670166015625 	 train_loss:0.002133401809260249 	 val_loss:0.09808290004730225
epoch:9/20 	 train_acc:99.82817840576172 	 val_acc:98.96907806396484 	 train_loss:0.006811799947172403 	 val_loss:0.09658519923686981
epoch:0/50 	 train_acc:91.0115966796875 	 val_acc:94.71649169921875 	 train_loss:0.18348395824432373 	 val_loss:0.16029690206050873
epoch:1/50 	 train_acc:97.5837631225586 	 val_acc:97.03607940673828 	 train_loss:0.016149576753377914 	 val_loss:0.039729975163936615
epoch:2/50 	 train_acc:98.67912292480469 	 val_acc:98.19587707519531 	 train_loss:0.03226577490568161 	 val_loss:0.0021979999728500843
epoch:3/50 	 train_acc:99.22679901123047 	 val_acc:98.19587707519531 	 train_loss:0.11636744439601898 	 val_loss:0.0004767627688124776
epoch:4/50 	 train_acc:99.1301498413086 	 val_acc:98.06700897216797 	 train_loss:0.004445177502930164 	 val_loss:0.000836582446936518
epoch:5/50 	 train_acc:99.5167465209961 	 val_acc:98.71133422851562 	 train_loss:0.004870575852692127 	 val_loss:0.00028389657381922007
epoch:6/50 	 train_acc:99.54896545410156 	 val_acc:99.48453521728516 	 train_loss:0.0066362409852445126 	 val_loss:0.00011644510959740728
epoch:7/50 	 train_acc:99.74226379394531 	 val_acc:99.09793853759766 	 train_loss:0.08655240386724472 	 val_loss:0.0002934100339189172
epoch:8/50 	 train_acc:99.45231628417969 	 val_acc:98.19587707519531 	 train_loss:0.03863166272640228 	 val_loss:0.00033546314807608724
epoch:9/50 	 train_acc:99.42009735107422 	 val_acc:98.45360565185547 	 train_loss:0.008801068179309368 	 val_loss:0.00018923776224255562
epoch:10/50 	 train_acc:99.87113189697266 	 val_acc:97.80927276611328 	 train_loss:0.002042355015873909 	 val_loss:7.023817306617275e-05
epoch:11/50 	 train_acc:99.90335083007812 	 val_acc:98.96907043457031 	 train_loss:0.0035290990490466356 	 val_loss:0.00025569600984454155
epoch:12/50 	 train_acc:99.87113189697266 	 val_acc:98.06700897216797 	 train_loss:0.003851973684504628 	 val_loss:0.00017300572653766721
epoch:13/50 	 train_acc:99.93556213378906 	 val_acc:98.71133422851562 	 train_loss:0.00590315368026495 	 val_loss:0.00018133886624127626
epoch:14/50 	 train_acc:99.83891296386719 	 val_acc:98.58247375488281 	 train_loss:0.0013501790817826986 	 val_loss:6.706245767418295e-05
epoch:15/50 	 train_acc:100.0 	 val_acc:98.84020233154297 	 train_loss:0.0009758600499480963 	 val_loss:0.0010142663959413767
epoch:16/50 	 train_acc:100.0 	 val_acc:99.61339569091797 	 train_loss:0.0005316627793945372 	 val_loss:4.046937101520598e-05
epoch:17/50 	 train_acc:100.0 	 val_acc:98.84020233154297 	 train_loss:0.015330382622778416 	 val_loss:2.3990356567082927e-05
epoch:18/50 	 train_acc:99.71004486083984 	 val_acc:98.84020233154297 	 train_loss:0.006846211850643158 	 val_loss:6.636411853833124e-05
epoch:19/50 	 train_acc:99.61339569091797 	 val_acc:96.3917465209961 	 train_loss:0.10791545361280441 	 val_loss:0.0029545931611210108
epoch:20/50 	 train_acc:99.2912368774414 	 val_acc:97.93814086914062 	 train_loss:0.002221727045252919 	 val_loss:9.031973604578525e-05
epoch:21/50 	 train_acc:99.5167465209961 	 val_acc:96.64948272705078 	 train_loss:0.002691349247470498 	 val_loss:0.0009300711681134999
epoch:22/50 	 train_acc:99.5167465209961 	 val_acc:99.09793853759766 	 train_loss:0.005996685475111008 	 val_loss:7.911374268587679e-05
epoch:23/50 	 train_acc:99.80670166015625 	 val_acc:98.84020233154297 	 train_loss:0.00035923768882639706 	 val_loss:5.4353862651623785e-05
epoch:24/50 	 train_acc:99.96778106689453 	 val_acc:99.09793853759766 	 train_loss:0.00028917795862071216 	 val_loss:9.076828428078443e-05
epoch:25/50 	 train_acc:99.90335083007812 	 val_acc:99.35566711425781 	 train_loss:0.006386095657944679 	 val_loss:0.0004550682788249105
epoch:26/50 	 train_acc:99.96778106689453 	 val_acc:99.87113189697266 	 train_loss:0.0024071107618510723 	 val_loss:3.786183151532896e-05
epoch:27/50 	 train_acc:99.93556213378906 	 val_acc:99.22679901123047 	 train_loss:0.0001775106939021498 	 val_loss:0.00014269912207964808
epoch:28/50 	 train_acc:100.0 	 val_acc:99.35566711425781 	 train_loss:0.00019915829761885107 	 val_loss:3.0128401704132557e-05
epoch:29/50 	 train_acc:100.0 	 val_acc:99.35566711425781 	 train_loss:0.012479391880333424 	 val_loss:6.513725384138525e-05
epoch:30/50 	 train_acc:99.96778106689453 	 val_acc:98.96907043457031 	 train_loss:0.0009473681566305459 	 val_loss:4.798151621798752e-06
epoch:31/50 	 train_acc:100.0 	 val_acc:98.96907043457031 	 train_loss:0.00024222428328357637 	 val_loss:0.0002898691163863987
epoch:32/50 	 train_acc:100.0 	 val_acc:99.35566711425781 	 train_loss:0.0007292237132787704 	 val_loss:5.713626160286367e-05
epoch:33/50 	 train_acc:100.0 	 val_acc:99.09793853759766 	 train_loss:9.230963041773066e-05 	 val_loss:2.8846085115219466e-05
epoch:34/50 	 train_acc:100.0 	 val_acc:99.35566711425781 	 train_loss:0.0002143783785868436 	 val_loss:6.52665039524436e-06
epoch:35/50 	 train_acc:100.0 	 val_acc:99.35566711425781 	 train_loss:0.0002361861988902092 	 val_loss:3.7550710203504423e-06
epoch:36/50 	 train_acc:100.0 	 val_acc:99.09793853759766 	 train_loss:3.541377736837603e-05 	 val_loss:6.556434982485371e-06
epoch:37/50 	 train_acc:100.0 	 val_acc:98.84020233154297 	 train_loss:0.0010942879598587751 	 val_loss:5.677302397089079e-06
epoch:38/50 	 train_acc:100.0 	 val_acc:99.09793853759766 	 train_loss:0.0007243434665724635 	 val_loss:7.808076588844415e-06
epoch:39/50 	 train_acc:100.0 	 val_acc:98.84020233154297 	 train_loss:0.0009861149592325091 	 val_loss:6.854465027572587e-06
epoch:40/50 	 train_acc:100.0 	 val_acc:99.22679901123047 	 train_loss:0.0008953927317634225 	 val_loss:3.324095450807363e-05
epoch:41/50 	 train_acc:100.0 	 val_acc:99.35566711425781 	 train_loss:5.491193587658927e-05 	 val_loss:1.345531563856639e-05
epoch:42/50 	 train_acc:100.0 	 val_acc:99.35566711425781 	 train_loss:0.00011396079207770526 	 val_loss:9.506776223133784e-06
epoch:43/50 	 train_acc:100.0 	 val_acc:99.09793853759766 	 train_loss:9.140451584244147e-05 	 val_loss:1.8550999811850488e-05
epoch:44/50 	 train_acc:100.0 	 val_acc:99.35566711425781 	 train_loss:4.874012665823102e-05 	 val_loss:5.91569460084429e-06
epoch:45/50 	 train_acc:100.0 	 val_acc:98.96907043457031 	 train_loss:2.3471649910788983e-05 	 val_loss:3.054723492823541e-06
epoch:46/50 	 train_acc:100.0 	 val_acc:99.22679901123047 	 train_loss:7.708788325544447e-05 	 val_loss:6.347815997287398e-06
epoch:47/50 	 train_acc:100.0 	 val_acc:99.35566711425781 	 train_loss:0.0008029178716242313 	 val_loss:7.182217814261094e-06
epoch:48/50 	 train_acc:100.0 	 val_acc:99.35566711425781 	 train_loss:0.0031379489228129387 	 val_loss:1.3038197721471079e-05
epoch:49/50 	 train_acc:100.0 	 val_acc:99.09793853759766 	 train_loss:0.00012930262892041355 	 val_loss:4.887549948762171e-06
